Nom,Longitude,Latitude
Établissement Public de Santé de Fresnes,2.320439,48.765354
Hôpital Inconnu,7.035113,43.578529
Hôpital Bichat-Claude Bernard,2.331957,48.898861
Unité de Santé Mentale pour Adultes,1.884584,50.957565
Polyclinique de Bordeaux Tondu,-0.529981,44.825695
Centre hospitalier de la Côte Basque - Site de Saint-Leon,-1.480813,43.482349
Clinique d'Épernay,3.950776,49.048519
Centre hospitalier de Martigues,5.038617,43.412823
CHS de l'Yonne,3.569725,47.805019
Centre hospitalier de l’Ouest Vosgien - Site de Neufchâteau,5.708210,48.368912
Maison médicale,5.109941,46.678307
Hôpital André Fourrier,3.033807,50.609741
CHU de Montpellier,3.864958,43.629269
Centre Hospitalier Psychiatrique Interdépartemental Site de Fitz James,2.440413,49.384800
Médecin,1.995702,44.266525
Pôle de Santé La Francilienne,2.614926,48.805580
Clinique Kennedy,4.347637,43.831570
Hôpital Privé de Villeneuve d'Ascq,3.152500,50.652943
Centre hospitalier Ariège Couserans,1.129462,42.999565
Clinique Ambroise Paré,6.154260,49.361004
Centre de jour Froissart,3.522865,50.363937
Centre de Santé Mentale Yves Pelicier,-1.977314,48.620148
Clinique Saint-Christophe,2.894738,42.716114
Hôpital Saint-Antoine,7.257923,44.071991
Hôpital Nord-Ouest Grandris Haute Azergues,4.477682,46.042984
Maternité catholique Sainte-Félicité,2.288525,48.839134
Centre hospitalier Pierre Oudot,5.245414,45.595913
CH des Deux Rives,0.887483,44.110176
Hôpital Inconnu,0.914075,45.894527
Centre hospitalier Nord Ouest Villefranche,4.695317,46.005043
Clinique Champ Fleuri,4.958253,45.770229
Centre hospitalier d'Albi,2.142217,43.925716
Polyclinique Pasteur,3.423337,43.456417
Centre Joseph Daquin,6.248059,46.180798
Centre hospitalier de Guingamp,-3.145310,48.567436
L’Hôpital Nord-Ouest Tarare,4.438650,45.889153
Domaine du Grand-Mesnil,2.170307,48.696846
Polyclinique Majorelle,6.143824,48.701168
Centre de santé des Épinettes,2.259741,48.818584
Institut Curie,2.343520,48.842640
EPSMD de l'Aisne,3.407089,49.035603
Hôpital Gériatrique Le Kem,6.145976,49.363197
Clinique Soleil Cerdan,1.975863,42.415955
Hôpital Local de Saint-Pierre-de-Bœuf,4.747211,45.381008
Centre hospitalier du Forez,4.221672,45.745968
Clinique Porte de Paris,2.355283,48.929684
Hôpital privé de la Seine Saint-Denis,2.456951,48.936440
Centre Hospitalier de Remiremont,6.593117,48.013367
Centre hospitalier Alès-Cévennes,4.096492,44.146614
Établissement Public de Santé Mentale des Flandres,2.744019,50.746086
Hôpital des Collines Vendéennes,-0.740348,46.645893
Hôpital Inconnu,-3.996477,48.682873
Hôpital local d'Ernée,-0.921941,48.295303
